#deck:git-mastery-labs::Section 1 - Foundations::03-sha1-object-storage
#separator:Comma
#columns:Front,Back,Tags
"You want to reproduce the SHA-1 hash Git produces for a file containing 'Hello, git\n' (11 bytes). What exact command?","printf 'blob 11\0Hello, git\n' | shasum — Git prepends the header (type SP length NUL) before hashing. shasum on raw content alone gives a different result.","demo03 sha1 internals"
"You run cat on a file in .git/objects/ and get binary garbage. Why, and how do you read it correctly?","Git stores all objects as zlib-compressed binary (DEFLATE algorithm). cat cannot decompress it. Use git cat-file -p <hash> to read any object, or Python's zlib.decompress() to see raw bytes. Always open the file in binary mode ('rb').","demo03 storage compression zlib"
"What is a loose object in Git?","An individual zlib-compressed object file stored at .git/objects/<first2>/<remaining38>. Every new object starts as a loose file. Packed into pack files by git gc or during push/clone operations.","demo03 storage loose-objects"
"What is a pack file and what two files make up a pack?","A pack file combines many objects into one using delta compression — solving the storage problem of thousands of loose files. Two files: pack-<hash>.pack (the objects) and pack-<hash>.idx (the index for fast lookup).","demo03 storage pack-files"
"What is delta compression in a Git pack file?","One full 'base' object is stored. Similar objects are stored as deltas (diffs against the base). git verify-pack -v shows delta depth: 0 = full copy, N = chain of N diffs. Significantly reduces storage for incremental file changes.","demo03 storage delta compression"
"What does git count-objects -vH show?","Verbose human-readable storage statistics: count (loose objects), size (loose size), in-pack (objects in pack files), packs (pack file count), size-pack (total pack size), prune-packable (loose objects already packed).","demo03 commands count-objects"
"What triggers automatic garbage collection in Git?","git gc --auto runs in the background when loose object count exceeds gc.auto threshold (default: ~6,700). Also run manually with git gc. Push/clone exchange pack files but do NOT trigger local gc.","demo03 gc storage"
"An unreachable object exists in .git/objects/. What determines when git gc removes it?","Two config values: gc.pruneExpire (default: 2 weeks) — minimum age before a loose unreachable object is pruned. gc.reflogExpireUnreachable (default: 30 days) — how long unreachable reflog entries are protected. Until both windows expire, the object is recoverable via git cat-file -p <hash>.","demo03 gc unreachable config"
"What command lists all objects in a pack file with their type, size, and delta depth?","git verify-pack -v <path-to-.idx-file> — argument is the .idx file, NOT the .pack file. Delta depth 0 = stored as full object. Higher = delta chain depth.","demo03 commands verify-pack"
"What does git fsck --unreachable do?","Lists all objects in the database not reachable from any branch, tag, or ref — shown as 'dangling blob/commit/tree <hash>'. These are candidates for eventual removal by git gc. Can also be used to find orphaned blobs from git hash-object -w that were never committed.","demo03 commands fsck"
"You open a Git object file with Python but get a zlib error. What is the most likely cause?","The file was opened in text mode ('r') instead of binary mode ('rb'). zlib.decompress() requires raw bytes. Always use open(path, 'rb') for Git object files.","demo03 storage zlib python"
"Why does zlib compression work particularly well for Git's use case?","Source code is text — highly repetitive, compresses 60-70% under DEFLATE. Decompression is fast (CPU cost negligible vs I/O savings). Same content always compresses identically at the same level, preserving the SHA-1 hash relationship.","demo03 storage compression rationale"
