#deck:git-mastery-labs::Section 1 - Git Foundations & Internals::02-git-internals-object-model
#separator:Comma
#columns:Front,Back,Tags
"After running 'echo Hello, git | git hash-object --stdin -w' twice, you check the working directory with ls -la. No files appear — only .git/. Yet git cat-file --batch-all-objects --batch-check shows two blobs. How is this possible?","Git's object database (.git/objects/) is completely independent from the working directory. git hash-object -w writes directly to the object database — it does not create any file on disk. Objects can exist in the database without any corresponding file in the working directory.","demo02 internals independence working-dir"
"You run git hash-object --stdin twice on identical input. Same or different hash?","Always the same. SHA-1 is deterministic — same content always produces the same hash. This is the foundation of Git's content-addressed storage.","demo02 internals sha1"
"You pipe identical content into git hash-object --stdin -w three times. How many blob objects are stored in .git/objects/?","One. Same content → same SHA-1 hash → same storage key. git hash-object -w writes the object only if it does not already exist. Git never stores the same content twice.","demo02 internals deduplication"
"What is the four-field structure of every Git object?","type + space + length (bytes as decimal ASCII) + null byte (\\0) + content. SHA-1 is computed over the entire string including the header — not just the content.","demo02 internals object-structure"
"Why does 'echo hello | git hash-object --stdin' produce a different hash than 'echo hello | shasum'?","Git prepends the object header ('blob 6\\0') before hashing. shasum hashes raw content only. The inputs differ so the outputs differ. Proof: printf 'blob 6\\0hello\\n' | shasum produces the same hash as git hash-object.","demo02 internals sha1 commands"
"A blob stores file contents. Where is the filename stored?","In the tree object that points to the blob. Each tree entry contains: mode | type | SHA-1 | filename. The TAB character separates the SHA-1 from the filename. Blobs have no name of their own.","demo02 internals blob tree"
"git cat-file has four single-character options. Name them and what each does.","-p: pretty-print contents. -t: print type (blob/tree/commit/tag). -s: print size in bytes. -e: exit 0 if object exists (for scripts).","demo02 commands cat-file"
"Why is .git/objects/ split into 256 subdirectories named 00 through ff?","To prevent filesystem performance problems from too many files in one directory. Git uses first 2 hex chars of SHA-1 as folder name (16×16=256 combinations) and remaining 38 chars as filename.","demo02 internals storage"
"What command lists all objects in the Git database with their hash, type, and size?","git cat-file --batch-all-objects --batch-check — prints one line per object in format: <hash> <type> <size-in-bytes>. No hash argument needed — operates on the entire database.","demo02 commands cat-file batch"
"What is the mandatory separator between the hash and filename in git mktree input?","A TAB character (\\t). Format: <mode> SP <type> SP <hash> TAB <name>. Using a space instead of TAB causes mktree to fail or produce a malformed tree.","demo02 commands mktree format"
"What command loads a tree from the repository into the staging area?","git read-tree <tree-SHA-1> — writes entries into .git/index. Does NOT touch the working directory. Files do not appear on disk until git checkout-index -a is run.","demo02 commands plumbing staging"
"What command writes all files from the staging area into the working directory?","git checkout-index -a — reads .git/index entries and creates the corresponding files on disk. The -a flag means all staged files. Does not change the staging area or repository.","demo02 commands plumbing staging"
"What is the difference between author and committer in a Git commit object?","Author = person who originally wrote the change. Committer = person who applied it to the repository. For your own commits on your own machine they are always identical. They differ in team workflows — covered in detail in Demo 05.","demo02 internals commit author-committer"
"Blobs store file contents as what format on disk?","Compressed binary — Git uses zlib (DEFLATE algorithm) to compress all objects before storing them in .git/objects/. You cannot read them with cat. Use git cat-file -p <hash> to read the decompressed contents.","demo02 internals blob compression"
"You run git add file.txt (creating a blob) but never commit. You then delete file.txt from the working directory. What is the state of the blob in .git/objects/?","The blob stays in .git/objects/ — deleting a file from the working directory never affects the object database. The blob is now unreachable (no commit or ref points to it). Git will eventually remove it when git gc runs, subject to gc.pruneExpire (default: 2 weeks) and gc.reflogExpireUnreachable (default: 30 days). Until then it is recoverable if you know the hash: git cat-file -p <hash>. Note: if the file had been committed, the blob would remain reachable through the commit chain and gc would never remove it while that commit exists. Reachability and gc configuration are covered in depth in Demo 10.","demo02 internals objects gc reachability"
