#deck:git-mastery-labs::Section 1 - Git Foundations & Internals::04-trees-staging-area
#separator:Comma
#columns:Front,Back,Tags
"A project has src/utils/helpers.js. How many tree objects does Git need to represent this path?","Three: one for the root directory, one for src/, and one for src/utils/. Each directory level is a separate tree object. The helpers.js file itself is a blob pointed to by the utils/ tree.","demo04,internals,trees,nested"
"What is the difference between git read-tree and git write-tree?","They move content in opposite directions. git read-tree loads an existing tree object's contents into the index. git write-tree derives tree objects from whatever is currently in the index. write-tree is what every git commit calls internally; read-tree underlies operations like git checkout and git merge rather than being run directly day to day.","demo04,commands,read-tree,write-tree"
"What must be true of the index before calling git write-tree?","The index must already be populated — git write-tree has nothing to build a tree from otherwise. In real use, the index is populated by git add. Same index content always produces the same tree hash, regardless of how that index was populated.","demo04,commands,write-tree,precondition"
"Does git commit-tree update HEAD or any branch ref when it creates a commit object?","No. git commit-tree only creates the commit object itself in .git/objects/. Making that commit reachable as 'the current state of a branch' requires a separate step — updating a branch ref (e.g. refs/heads/main) to point at the new commit hash. Without that step, the commit object exists but nothing points to it. Covered in full in Demo 05.","demo04,commands,commit-tree,head,forward-reference"
"What is the difference between git diff and git diff --cached?","git diff compares the working directory against the index — shows changes not yet staged (will NOT be in the next commit unless added). git diff --cached compares the index against the last commit — shows exactly what the next commit will contain. git diff HEAD combines both and requires at least one commit to exist. HEAD is just one example of a more general git diff <commit-or-ref> capability.","demo04,commands,diff,staged"
"You run git add . on a directory containing src/utils/helpers.js. How many tree objects does git add create?","None. git add creates blob objects for file contents and updates .git/index entries with flat file paths. Tree objects (src/ tree, utils/ tree, root tree) are created later by git write-tree, called internally by git commit.","demo04,internals,add,trees,index"
"What is the difference between git add . and git add -A?","Both stage new and modified files recursively. The differences: git add . stages only from the current directory downward — files outside the current directory subtree are untouched. git add -A stages all changes across the entire repository regardless of which directory you are in, including all deletions and renames everywhere. Use git add -A from the repo root when you want to capture every change in one command.","demo04,commands,add,add-A"
"In a repository with no commits yet, you run git rm --cached config.json. It succeeds. Why does it not need HEAD?","git rm --cached removes the index entry for a file directly — it does not need HEAD to exist because it is not restoring anything. It simply removes the entry from .git/index. It only refuses (with an error) when all three areas disagree simultaneously: index, working directory, and HEAD (or the absence of HEAD when the working directory has diverged). When the working directory still matches what is staged, git rm --cached succeeds with zero commits in the repo.","demo04,commands,rm-cached,head,no-commits"
"git rm --cached config.json fails with 'staged content different from both the file and the HEAD'. What exactly is happening and what are the two options?","The index holds a version of config.json, the working directory has a different (more edited) version, and HEAD either doesn't exist or has yet another version. The staged snapshot exists nowhere else — removing it would permanently discard it. Option 1: git rm -f --cached config.json to force removal (use when you confirm the staged version is not needed). Option 2: git add config.json first to sync the index with the working directory, then git rm --cached config.json succeeds without force.","demo04,commands,rm-cached,error,force"
"What is the difference between git rm config.json and git rm --cached config.json?","git rm config.json deletes the file from both the index AND the working directory — the file is removed from disk. git rm --cached config.json removes the file's entry from the index only — the file stays on disk unchanged. Without --cached, Git also requires -f if the file has local modifications. Use --cached when you want to stop tracking a file without deleting it.","demo04,commands,rm,rm-cached,difference"
"Why does git status run fast on large repositories with tens of thousands of files?","git status first compares each file's current ctime/mtime against the values stored in the index. If they match, the file is assumed unchanged and Git trusts the stored hash with no file read at all. Only on a timestamp mismatch does Git read the file and compute a real hash to confirm whether content changed. The expensive read-and-hash step runs only for files whose timestamps moved, not for every tracked file.","demo04,internals,index,performance,mtime"
"The index stores flat file paths. What does this mean for src/utils/helpers.js?","The index has one entry with path src/utils/helpers.js — not separate entries for the directories src/ and src/utils/. Directory names appear only as prefixes of file paths. The tree objects that represent src/ and src/utils/ as directories are created from these path prefixes only when git write-tree runs.","demo04,internals,index,paths"
"What does git ls-files -s show, compared to plain git ls-files?","Plain git ls-files shows only tracked file paths. git ls-files -s adds, per file: the file mode, the blob SHA-1 hash, and the stage number (0 for a normal tracked file; 1/2/3 only appear during an unresolved merge conflict). -s is the option used to verify exactly what the index currently points to for each file.","demo04,commands,ls-files"
"git diff HEAD fails with 'fatal: ambiguous argument HEAD' — what is the cause?","The repository has no commits yet. git diff HEAD tries to resolve HEAD to a commit hash, but HEAD cannot resolve until the first commit exists. git diff and git diff --cached both work without any commits — git diff --cached compares the index against an implied empty tree. git diff HEAD becomes usable after the first commit, in Demo 05.","demo04,commands,diff,head,no-commits"
"What does git commit-tree create, and is it demonstrated fully in this demo?","git commit-tree wraps a tree object in a commit object — adding author, committer, an optional parent pointer, and a message. It is introduced by name and syntax only in this demo. The full demonstration — root commits, parent pointers, and the commit chain — is covered in detail in Demo 05.","demo04,commands,commit-tree,forward-reference"
